city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Jamshedpur,22.8,86.1833,India,IN,Jharkhand,,1558000,1558000
Nāsik,20,73.7833,India,IN,Mahārāshtra,,1486053,1486053
Farīdābād,28.4333,77.3167,India,IN,Haryāna,,1394000,1394000
Aurangābād,19.88,75.32,India,IN,Mahārāshtra,,1371330,1371330
Rājkot,22.2969,70.7984,India,IN,Gujarāt,,1335397,1335397
Meerut,28.99,77.7,India,IN,Uttar Pradesh,,1305429,1305429
Jabalpur,23.1667,79.9333,India,IN,Madhya Pradesh,,1267564,1267564
Thāne,19.18,72.9633,India,IN,Mahārāshtra,,1261517,1261517
Dhanbād,23.7928,86.435,India,IN,Jharkhand,,1246000,219636
Allahābād,25.455,81.84,India,IN,Uttar Pradesh,,1201000,1073438
Vārānasi,25.3189,83.0128,India,IN,Uttar Pradesh,,1198491,1198491
Srinagar,34.0911,74.8061,India,IN,Jammu and Kashmīr,admin,1180570,1180570
Amritsar,31.6167,74.85,India,IN,Punjab,,1132383,1132383
Alīgarh,27.88,78.08,India,IN,Uttar Pradesh,,1131160,1131160
Bhiwandi,19.3,73.0667,India,IN,Mahārāshtra,,1125898,1125898
Gwalior,26.215,78.1931,India,IN,Madhya Pradesh,,1101981,1101981
Bhilai,21.2167,81.4333,India,IN,Chhattīsgarh,,1097000,1097000
Hāora,22.59,88.31,India,IN,West Bengal,,1077075,1077075
Ranchi,23.3556,85.3347,India,IN,Jharkhand,admin,1073440,1073440
Bezwāda,16.5167,80.6167,India,IN,Andhra Pradesh,,1048240,1048240
Chandigarh,30.7353,76.7911,India,IN,Chandigarh,admin,1026459,1026459
Mysore,12.3086,76.6531,India,IN,Karnātaka,,1014227,1014227
Raipur,21.2379,81.6337,India,IN,Chhattīsgarh,admin,1010087,1010087
Kota,25.18,75.83,India,IN,Rājasthān,,1001694,1001694
Bareilly,28.364,79.415,India,IN,Uttar Pradesh,,1000000,1000000
Jodhpur,26.2918,73.0168,India,IN,Rājasthān,,995000,921476
Coimbatore,11,76.9667,India,IN,Tamil Nādu,,959823,959823
Dispur,26.15,91.77,India,IN,Assam,admin,957352,957352
Guwāhāti,26.1667,91.7667,India,IN,Assam,,957352,957352
Solāpur,17.6833,75.9167,India,IN,Mahārāshtra,,951558,951558
Trichinopoly,10.8269,78.6928,India,IN,Tamil Nādu,,916857,916857
Hubli,15.36,75.125,India,IN,Karnātaka,,890000,792804
Jalandhar,31.3256,75.5792,India,IN,Punjab,,873725,873725
Bhubaneswar,20.2644,85.8281,India,IN,Odisha,admin,837737,837737
Bhayandar,19.3,72.85,India,IN,Mahārāshtra,,814655,814655
Morādābād,28.8418,78.7568,India,IN,Uttar Pradesh,,787000,721139
Kolhāpur,16.7,74.2333,India,IN,Mahārāshtra,,750000,561841
Thiruvananthapuram,8.5,76.8997,India,IN,Kerala,admin,743691,743691
Sahāranpur,29.964,77.546,India,IN,Uttar Pradesh,,705478,705478
Warangal,17.9756,79.6011,India,IN,Telangana,,704570,704570
Salem,11.65,78.1667,India,IN,Tamil Nādu,,693236,693236
Mālegaon,20.55,74.55,India,IN,Mahārāshtra,,690844,435362
Kochi,9.9667,76.2833,India,IN,Kerala,,677381,677381
Gorakhpur,26.7611,83.3667,India,IN,Uttar Pradesh,,673446,673446
Shimoga,13.9304,75.56,India,IN,Karnātaka,,654055,319550
Tiruppūr,11.1075,77.3398,India,IN,Tamil Nādu,,650000,444543
Guntūr,16.3,80.45,India,IN,Andhra Pradesh,,647508,647508
Raurkela,22.2492,84.8828,India,IN,Odisha,,625831,483629
Mangalore,12.8703,74.8806,India,IN,Karnātaka,,623841,623841
Nānded,19.15,77.3333,India,IN,Mahārāshtra,,623708,550564
Cuttack,20.45,85.8667,India,IN,Odisha,,606007,606007
Chānda,19.95,79.3,India,IN,Mahārāshtra,,595118,328351
Dehradun,30.318,78.029,India,IN,Uttarakhand,admin,578420,578420
Durgāpur,23.55,87.32,India,IN,West Bengal,,566517,566517
Āsansol,23.6833,86.9667,India,IN,West Bengal,,563917,563917
Bhāvnagar,21.765,72.1369,India,IN,Gujarāt,,554978,464602
Amravati,20.9333,77.75,India,IN,Mahārāshtra,,549370,549370
Nellore,14.4333,79.9667,India,IN,Andhra Pradesh,,547621,547621
Ajmer,26.468,74.639,India,IN,Rājasthān,,542321,542321
Tinnevelly,8.7289,77.7081,India,IN,Tamil Nādu,,542200,435844
Bīkaner,28.0181,73.3169,India,IN,Rājasthān,,529007,529007
Agartala,23.8333,91.2667,India,IN,Tripura,admin,522613,522613
Ujjain,23.1828,75.7772,India,IN,Madhya Pradesh,,515215,515215
Jhānsi,25.4486,78.5696,India,IN,Uttar Pradesh,,507000,507000
Ulhāsnagar,19.2167,73.15,India,IN,Mahārāshtra,,506098,506098
Davangere,14.4667,75.9167,India,IN,Karnātaka,,503564,435125
Jammu,32.7333,74.85,India,IN,Jammu and Kashmīr,,502197,502197
Belgaum,15.8667,74.5,India,IN,Karnātaka,,488157,488157
Gulbarga,17.3333,76.8333,India,IN,Karnātaka,,483615,481478
Jāmnagar,22.47,70.07,India,IN,Gujarāt,,479920,479920
Dhūlia,20.9,74.7833,India,IN,Mahārāshtra,,479073,366980
Gaya,24.75,85.0167,India,IN,Bihār,,474093,474093
Jalgaon,21.0167,75.5667,India,IN,Mahārāshtra,,460468,460468
Kurnool,15.8222,78.035,India,IN,Andhra Pradesh,,457633,457633
Udaipur,24.5833,73.6833,India,IN,Rājasthān,,451100,451100
Bellary,15.15,76.915,India,IN,Karnātaka,,445388,336681
Sāngli,16.8667,74.5667,India,IN,Mahārāshtra,,436639,436639
Tuticorin,8.7833,78.1333,India,IN,Tamil Nādu,,436094,436094
Calicut,11.25,75.7667,India,IN,Kerala,minor,431560,431560
Akola,20.7333,77,India,IN,Mahārāshtra,,425817,425817
Bhāgalpur,25.25,87.0167,India,IN,Bihār,,410210,410210
Sīkar,27.6119,75.1397,India,IN,Rājasthān,,400000,237579
Tumkūr,13.33,77.1,India,IN,Karnātaka,,399606,307359
Quilon,8.8853,76.5864,India,IN,Kerala,,397419,397419
Muzaffarnagar,29.4708,77.7033,India,IN,Uttar Pradesh,,392451,392451
Bhīlwāra,25.35,74.6333,India,IN,Rājasthān,,389911,326431
Nizāmābād,18.6704,78.1,India,IN,Telangana,,388505,305438
Bhātpāra,22.8667,88.4167,India,IN,West Bengal,,386019,386019
Kākināda,16.9333,82.2167,India,IN,Andhra Pradesh,,384182,384182
Parbhani,19.2704,76.76,India,IN,Mahārāshtra,,378326,289629
Pānihāti,22.69,88.37,India,IN,West Bengal,,377347,377347
Lātūr,18.4004,76.57,India,IN,Mahārāshtra,,374394,348967
Rohtak,28.9,76.5667,India,IN,Haryāna,,374292,374292
Rājapālaiyam,9.4204,77.58,India,IN,Tamil Nādu,,369991,307959
Ahmadnagar,19.0833,74.7333,India,IN,Mahārāshtra,,350859,350859
Cuddapah,14.4667,78.8167,India,IN,Andhra Pradesh,,344893,344893
Rājahmundry,16.9833,81.7833,India,IN,Andhra Pradesh,,341831,341831
Alwar,27.5667,76.6167,India,IN,Rājasthān,,341422,341422
Muzaffarpur,26.12,85.3833,India,IN,Bihār,,333200,333200
Bilāspur,22.15,82.0167,India,IN,Chhattīsgarh,,331030,331030
Mathura,27.4833,77.6833,India,IN,Uttar Pradesh,,330511,330511
Kāmārhāti,22.67,88.37,India,IN,West Bengal,,330211,330211
Patiāla,30.3204,76.385,India,IN,Punjab,,329224,329224
Saugor,23.8504,78.75,India,IN,Madhya Pradesh,,328240,247333
Bijāpur,16.8244,75.7154,India,IN,Karnātaka,,327427,327427
Brahmapur,19.32,84.8,India,IN,Odisha,,324726,324726
Shāhjānpur,27.8804,79.905,India,IN,Uttar Pradesh,,320434,320434
Trichūr,10.52,76.21,India,IN,Kerala,,315596,315596
Barddhamān,23.25,87.85,India,IN,West Bengal,,314265,314265
Kulti,23.73,86.85,India,IN,West Bengal,,313809,313809
Sambalpur,21.4704,83.9701,India,IN,Odisha,,310852,162887
Purnea,25.78,87.47,India,IN,Bihār,,310817,310817
Hisar,29.1489,75.7367,India,IN,Haryāna,,307024,307024
Fīrozābād,27.15,78.3949,India,IN,Uttar Pradesh,,306409,306409
Bīdar,17.9229,77.5175,India,IN,Karnātaka,,300136,204071
Rāmpur,28.8154,79.025,India,IN,Uttar Pradesh,,296418,296418
Shiliguri,26.72,88.42,India,IN,West Bengal,,294546,294546
Bāli,22.65,88.34,India,IN,West Bengal,,293373,293373
Pānīpat,29.4004,76.97,India,IN,Haryāna,,292808,292808
Karīmnagar,18.4333,79.15,India,IN,Telangana,,289821,289821
Bhuj,23.2504,69.81,India,IN,Gujarāt,,289429,289429
Ichalkaranji,16.7,74.47,India,IN,Mahārāshtra,,287570,287570
Tirupati,13.65,79.42,India,IN,Andhra Pradesh,,287482,287482
Hospet,15.2667,76.4,India,IN,Karnātaka,,286007,197846
Aizawl,23.7104,92.72,India,IN,Mizoram,admin,283021,265331
Sannai,24.16,80.83,India,IN,Madhya Pradesh,,283004,283004
Bārāsat,22.2333,88.45,India,IN,West Bengal,,278435,278435
Ratlām,23.3167,75.0667,India,IN,Madhya Pradesh,,273892,273892
Handwāra,34.4,74.28,India,IN,Jammu and Kashmīr,,269311,269311
Drug,21.19,81.28,India,IN,Chhattīsgarh,,268806,268806
Imphal,24.82,93.95,India,IN,Manipur,admin,268243,268243
Anantapur,14.6833,77.6,India,IN,Andhra Pradesh,,267161,267161
Etāwah,26.7855,79.015,India,IN,Uttar Pradesh,,257448,257448
Rāichūr,16.2104,77.355,India,IN,Karnātaka,,255240,225962
Ongole,15.5,80.05,India,IN,Andhra Pradesh,,252739,252739
Bharatpur,27.2172,77.49,India,IN,Rājasthān,,252342,252342
Begusarai,25.42,86.13,India,IN,Bihār,,252008,252008
Sonīpat,28.9958,77.0114,India,IN,Haryāna,,250521,250521
Rāmgundam,18.8,79.45,India,IN,Telangana,,242979,242979
Hāpur,28.7437,77.7628,India,IN,Uttar Pradesh,,242920,242920
Uluberiya,22.47,88.11,India,IN,West Bengal,,235345,235345
Porbandar,21.6425,69.6047,India,IN,Gujarāt,,234684,138872
Pāli,25.7725,73.3233,India,IN,Rājasthān,,229956,229956
Vizianagaram,18.1167,83.4167,India,IN,Andhra Pradesh,,228720,228720
Puducherry,11.93,79.83,India,IN,Puducherry,admin,227411,227411
Karnāl,29.6804,76.97,India,IN,Haryāna,,225049,225049
Nāgercoil,8.17,77.43,India,IN,Tamil Nādu,,224329,213858
Tanjore,10.8,79.15,India,IN,Tamil Nādu,,222943,222943
Sambhal,28.58,78.55,India,IN,Uttar Pradesh,,220813,220813
Naihāti,22.9,88.42,India,IN,West Bengal,,217900,217900
Secunderābād,17.45,78.5,India,IN,Telangana,,213698,213698
Kharagpur,22.3302,87.3237,India,IN,West Bengal,,207604,207604
Dindigul,10.35,77.95,India,IN,Tamil Nādu,,207327,207327
Shimla,31.1033,77.1722,India,IN,Himāchal Pradesh,admin,206575,206575
Ingrāj Bāzār,25,88.15,India,IN,West Bengal,,205521,205521
Ellore,16.7,81.1,India,IN,Andhra Pradesh,,203780,203780
Puri,19.8,85.8167,India,IN,Odisha,,201026,201026
Haldia,22.0257,88.0583,India,IN,West Bengal,,200762,200762
Nandyāl,15.48,78.48,India,IN,Andhra Pradesh,,200516,200516
Bulandshahr,28.4104,77.8484,India,IN,Uttar Pradesh,,198612,198612
Chakradharpur,22.7,85.63,India,IN,Jharkhand,,197953,197953
Bhiwāni,28.7833,76.1333,India,IN,Haryāna,,197662,197662
Gurgaon,28.45,77.02,India,IN,Haryāna,,197340,197340
Burhānpur,21.3004,76.13,India,IN,Madhya Pradesh,,197233,197233
Khammam,17.25,80.15,India,IN,Telangana,,196283,196283
Madhyamgram,22.7,88.45,India,IN,West Bengal,,196127,196127
Gandhinagar,23.22,72.68,India,IN,Gujarāt,admin,195891,195891
Baharampur,24.1,88.25,India,IN,West Bengal,,195223,195223
Mahbūbnagar,16.7333,77.9833,India,IN,Telangana,,190400,190400
Mahesāna,23.6,72.4,India,IN,Gujarāt,,184991,184991
Ādoni,15.63,77.28,India,IN,Andhra Pradesh,,184625,184625
Rāiganj,25.6167,88.1167,India,IN,West Bengal,,183612,183612
Bhusāval,21.02,75.83,India,IN,Mahārāshtra,,183001,172366
Bahraigh,27.6204,81.6699,India,IN,Uttar Pradesh,,182218,182218
Shrīrāmpur,22.75,88.34,India,IN,West Bengal,,181842,181842
Tonk,26.1505,75.79,India,IN,Rājasthān,,181734,151331
Sirsa,29.4904,75.03,India,IN,Haryāna,,181639,160129
Jaunpur,25.7333,82.6833,India,IN,Uttar Pradesh,,180362,180362
Madanapalle,13.55,78.5,India,IN,Andhra Pradesh,,180180,180180
Hugli,22.9,88.39,India,IN,West Bengal,,179931,179931
Vellore,12.9204,79.15,India,IN,Tamil Nādu,,177081,177081
Alleppey,9.5004,76.37,India,IN,Kerala,,176783,176783
Cuddalore,11.75,79.75,India,IN,Tamil Nādu,,173676,173676
Deo,24.6561,84.4356,India,IN,Bihār,,173216,173216
Chīrāla,15.82,80.35,India,IN,Andhra Pradesh,,172826,172826
Machilīpatnam,16.1667,81.1333,India,IN,Andhra Pradesh,,169892,169892
Medinīpur,22.4333,87.3333,India,IN,West Bengal,,169264,169264
Bāramūla,34.2,74.34,India,IN,Jammu and Kashmīr,,167986,167986
Chandannagar,22.8667,88.3833,India,IN,West Bengal,,166867,166867
Fatehpur,25.8804,80.8,India,IN,Uttar Pradesh,,166480,166480
Udipi,13.3322,74.7461,India,IN,Karnātaka,,165401,165401
Tenāli,16.243,80.64,India,IN,Andhra Pradesh,,164937,164937
Sitalpur,27.63,80.75,India,IN,Uttar Pradesh,,164435,164435
Conjeeveram,12.8308,79.7078,India,IN,Tamil Nādu,,164384,164384
Proddatūr,14.73,78.55,India,IN,Andhra Pradesh,,163970,163970
Navsāri,20.8504,72.92,India,IN,Gujarāt,,163000,163000
Godhra,22.7755,73.6149,India,IN,Gujarāt,,161925,161925
Budaun,28.03,79.09,India,IN,Uttar Pradesh,,161555,161555
Chittoor,13.2,79.1167,India,IN,Andhra Pradesh,,160722,160722
Harīpur,31.52,75.98,India,IN,Punjab,,158142,158142
Saharsa,25.88,86.6,India,IN,Bihār,,156540,156540
Vidisha,23.5239,77.8061,India,IN,Madhya Pradesh,,155959,155959
Pathānkot,32.2689,75.6497,India,IN,Punjab,,155909,155909
Nalgonda,17.05,79.27,India,IN,Telangana,,154326,154326
Dibrugarh,27.4833,95,India,IN,Assam,,154019,154019
Bālurghāt,25.2167,88.7667,India,IN,West Bengal,,153279,153279
Krishnanagar,23.4,88.5,India,IN,West Bengal,,153062,153062
Fyzābād,26.7504,82.17,India,IN,Uttar Pradesh,,153047,153047
Silchar,24.7904,92.79,India,IN,Assam,,152393,152393
Shāntipur,23.25,88.43,India,IN,West Bengal,,151777,151777
Hindupur,13.83,77.49,India,IN,Andhra Pradesh,,151677,151677
Erode,11.3408,77.7172,India,IN,Tamil Nādu,,151184,151184
Jāmuria,23.7,87.08,India,IN,West Bengal,,149220,149220
Hābra,22.83,88.63,India,IN,West Bengal,,147221,147221
Ambāla,30.3786,76.7725,India,IN,Haryāna,,146787,146787
Mauli,30.7194,76.7181,India,IN,Punjab,,146213,146213
Kolār,13.1333,78.1333,India,IN,Karnātaka,,144625,126441
Shillong,25.5744,91.8789,India,IN,Meghālaya,admin,143229,143229
Bhīmavaram,16.5333,81.5333,India,IN,Andhra Pradesh,,142184,142184
New Delhi,28.7,77.2,India,IN,Delhi,primary,142004,142004
Mandsaur,24.03,75.08,India,IN,Madhya Pradesh,,141667,141667
Kumbakonam,10.9805,79.4,India,IN,Tamil Nādu,,139264,139264
Tiruvannāmalai,12.2604,79.1,India,IN,Tamil Nādu,,138243,138243
Chicacole,18.3,83.9,India,IN,Andhra Pradesh,,137944,137944
Bānkura,23.25,87.0667,India,IN,West Bengal,,137386,137386
Mandya,12.5242,76.8958,India,IN,Karnātaka,,137358,137358
Hassan,13.005,76.1028,India,IN,Karnātaka,,133436,133436
Yavatmāl,20.4,78.1333,India,IN,Mahārāshtra,,132000,132000
Pīlibhīt,28.64,79.81,India,IN,Uttar Pradesh,,131008,131008
Pālghāt,10.7792,76.6547,India,IN,Kerala,,130955,130955
Abohar,30.1204,74.29,India,IN,Punjab,,130603,130603
Pālakollu,16.5333,81.7333,India,IN,Andhra Pradesh,,129717,129717
Kānchrāpāra,22.97,88.43,India,IN,West Bengal,,129576,129576
Port Blair,11.6667,92.75,India,IN,Andaman and Nicobar Islands,admin,127562,112050
Alīpur Duār,26.4837,89.5667,India,IN,West Bengal,,127342,127342
Hāthras,27.6,78.05,India,IN,Uttar Pradesh,,126882,126882
Guntakal,15.17,77.38,India,IN,Andhra Pradesh,,126270,126270
Navadwīp,23.4088,88.3657,India,IN,West Bengal,,125543,125543
Basīrhat,22.6572,88.8942,India,IN,West Bengal,,125254,125254
Hālīsahar,22.95,88.42,India,IN,West Bengal,,124939,124939
Rishra,22.71,88.35,India,IN,West Bengal,,124577,124577
Dharmavaram,14.4142,77.715,India,IN,Andhra Pradesh,,121874,121874
Baidyabāti,22.79,88.32,India,IN,West Bengal,,121110,121110
Darjeeling,27.0417,88.2631,India,IN,West Bengal,,118805,118805
Sopur,34.3,74.47,India,IN,Jammu and Kashmīr,,118608,118608
Gudivāda,16.43,80.99,India,IN,Andhra Pradesh,,118167,118167
Adilābād,19.6667,78.5333,India,IN,Telangana,,117167,117167
Titāgarh,22.74,88.37,India,IN,West Bengal,,116541,116541
Chittaurgarh,24.8894,74.6239,India,IN,Rājasthān,,116406,116406
Narasaraopet,16.236,80.054,India,IN,Andhra Pradesh,,116250,116250
Dam Dam,22.62,88.42,India,IN,West Bengal,,114786,114786
Vālpārai,10.3204,76.97,India,IN,Tamil Nādu,,114308,90353
Osmānābād,18.1667,76.05,India,IN,Mahārāshtra,,112085,112085
Champdani,22.8,88.37,India,IN,West Bengal,,111251,111251
Bangaon,23.07,88.82,India,IN,West Bengal,,108864,108864
Khardah,22.72,88.38,India,IN,West Bengal,,108496,108496
Tādpatri,14.92,78.02,India,IN,Andhra Pradesh,,108171,108171
Jalpāiguri,26.5167,88.7333,India,IN,West Bengal,,107341,107341
Suriāpet,17.15,79.6167,India,IN,Telangana,,106805,106805
Tādepallegūdem,16.8333,81.5,India,IN,Andhra Pradesh,,104032,104032
Bānsbāria,22.97,88.4,India,IN,West Bengal,,103920,103920
Negapatam,10.7667,79.8333,India,IN,Tamil Nādu,,102905,102905
Bhadreswar,22.82,88.35,India,IN,West Bengal,,101477,101477
Chilakalūrupet,16.0892,80.1672,India,IN,Andhra Pradesh,,101398,101398
Kalyani,22.975,88.4344,India,IN,West Bengal,,100575,100575
Gangtok,27.33,88.62,India,IN,Sikkim,admin,100286,100286
Kohima,25.6667,94.1194,India,IN,Nāgāland,admin,99039,99039
Khambhāt,22.3131,72.6194,India,IN,Gujarāt,,98700,98700
Aurangābād,24.7704,84.38,India,IN,Bihār,,95929,95929
Emmiganūr,15.7333,77.4833,India,IN,Andhra Pradesh,,95149,95149
Rāyachoti,14.05,78.75,India,IN,Andhra Pradesh,,91234,91234
Kāvali,14.9123,79.9944,India,IN,Andhra Pradesh,,90099,90099
Mancherāl,18.8679,79.4639,India,IN,Telangana,,89935,89935
Kadiri,14.12,78.17,India,IN,Andhra Pradesh,,89429,89429
Ootacamund,11.4086,76.6939,India,IN,Tamil Nādu,,88430,88430
Anakāpalle,17.68,83.02,India,IN,Andhra Pradesh,,86519,86519
Sirsilla,18.38,78.83,India,IN,Telangana,,83186,83186
Kāmāreddipet,18.3167,78.35,India,IN,Telangana,,80315,80315
Pāloncha,17.5815,80.6765,India,IN,Telangana,,80199,80199
Kottagūdem,17.55,80.63,India,IN,Telangana,,79819,79819
Tanuku,16.75,81.7,India,IN,Andhra Pradesh,,77962,77962
Bodhan,18.67,77.9,India,IN,Telangana,,77573,77573
Karūr,10.9504,78.0833,India,IN,Tamil Nādu,,76915,76915
Mangalagiri,16.43,80.55,India,IN,Andhra Pradesh,,73613,73613
Kairāna,29.4,77.2,India,IN,Uttar Pradesh,,73046,73046
Mārkāpur,15.735,79.27,India,IN,Andhra Pradesh,,71092,71092
Malaut,30.19,74.499,India,IN,Punjab,,70958,70958
Bāpatla,15.8889,80.47,India,IN,Andhra Pradesh,,70777,70777
Badvel,14.75,79.05,India,IN,Andhra Pradesh,,70626,70626
Jorhāt,26.75,94.2167,India,IN,Assam,,69033,69033
Koratla,18.82,78.72,India,IN,Telangana,,66504,66504
Pulivendla,14.4167,78.2333,India,IN,Andhra Pradesh,,65706,65706
Jaisalmer,26.9167,70.9167,India,IN,Rājasthān,,65471,65471
Tādepalle,16.4667,80.6,India,IN,Andhra Pradesh,,64149,64149
Armūr,18.79,78.29,India,IN,Telangana,,64023,64023
Jatani,20.17,85.7,India,IN,Odisha,,63697,63697
Gadwāl,16.23,77.8,India,IN,Telangana,,63177,63177
Nagari,13.33,79.58,India,IN,Andhra Pradesh,,62253,62253
Wanparti,16.361,78.0627,India,IN,Telangana,,60949,60949
Ponnūru,16.0667,80.5667,India,IN,Andhra Pradesh,,59913,59913
Vinukonda,16.05,79.75,India,IN,Andhra Pradesh,,59725,59725
Itanagar,27.1,93.62,India,IN,Arunāchal Pradesh,admin,59490,59490
Tezpur,26.6338,92.8,India,IN,Assam,,58851,58851
Narasapur,16.4333,81.6833,India,IN,Andhra Pradesh,,58770,58770
Kothāpet,19.3333,79.4833,India,IN,Telangana,,57583,57583
Mācherla,16.48,79.43,India,IN,Andhra Pradesh,,57290,57290
Kandukūr,15.2165,79.9042,India,IN,Andhra Pradesh,,57246,57246
Sāmalkot,17.0531,82.1695,India,IN,Andhra Pradesh,,56864,56864
Bobbili,18.5667,83.4167,India,IN,Andhra Pradesh,,56819,56819
Sattenapalle,16.3962,80.1497,India,IN,Andhra Pradesh,,56721,56721
Vrindāvan,27.5806,77.7006,India,IN,Uttar Pradesh,,56618,56618
Mandapeta,16.87,81.93,India,IN,Andhra Pradesh,,56063,56063
Belampalli,19.0558,79.4931,India,IN,Telangana,,55841,55841
Bhīmunipatnam,17.8864,83.4471,India,IN,Andhra Pradesh,,55082,55082
Nāndod,21.8704,73.5026,India,IN,Gujarāt,,54923,54923
Pithāpuram,17.1167,82.2667,India,IN,Andhra Pradesh,,54859,54859
Punganūru,13.3667,78.5833,India,IN,Andhra Pradesh,,54746,54746
Puttūr,13.45,79.55,India,IN,Andhra Pradesh,,54092,54092
Jalor,25.35,72.6167,India,IN,Rājasthān,,54081,54081
Palmaner,13.2,78.75,India,IN,Andhra Pradesh,,54035,54035
Dholka,22.72,72.47,India,IN,Gujarāt,,53792,53792
Jaggayyapeta,16.892,80.0976,India,IN,Telangana,,53530,53530
Tuni,17.35,82.55,India,IN,Andhra Pradesh,,53425,53425
Amalāpuram,16.5833,82.0167,India,IN,Andhra Pradesh,,53231,53231
Jagtiāl,18.8,78.93,India,IN,Telangana,,53213,53213
Vikārābād,17.33,77.9,India,IN,Telangana,,53143,53143
Venkatagiri,13.9667,79.5833,India,IN,Andhra Pradesh,,52688,52688
Sihor,21.7,71.97,India,IN,Gujarāt,,52603,52603
Jangaon,17.72,79.18,India,IN,Telangana,,52394,52394
Mandamāri,18.9822,79.4811,India,IN,Telangana,,52352,52352
Metpalli,18.8297,78.5878,India,IN,Telangana,,50902,50902
Repalle,16.02,80.85,India,IN,Andhra Pradesh,,50866,50866
Bhainsa,19.1,77.9667,India,IN,Telangana,,49764,49764
Jasdan,22.03,71.2,India,IN,Gujarāt,,48483,48483
Jammalamadugu,14.85,78.38,India,IN,Andhra Pradesh,,46069,46069
Rāmeswaram,9.28,79.3,India,IN,Tamil Nādu,,44856,44856
Addanki,15.811,79.9738,India,IN,Andhra Pradesh,,43850,43850
Nidadavole,16.92,81.67,India,IN,Andhra Pradesh,,43809,43809
Bodupāl,17.4139,78.5783,India,IN,Telangana,,43692,43692
Rājgīr,25.03,85.42,India,IN,Bihār,,41587,41587
Rajaori,33.38,74.3,India,IN,Jammu and Kashmīr,,41552,41552
Naini Tal,29.3919,79.4542,India,IN,Uttarakhand,,41377,41377
Channarāyapatna,12.9,76.39,India,IN,Karnātaka,,40400,40400
Maihar,24.27,80.75,India,IN,Madhya Pradesh,,40192,40192
Panaji,15.48,73.83,India,IN,Goa,admin,40017,40017
Junnar,19.2,73.88,India,IN,Mahārāshtra,,40000,40000
Amudālavalasa,18.4167,83.9,India,IN,Andhra Pradesh,,39799,39799
Daman,20.417,72.85,India,IN,Gujarāt,admin,39737,39737
Kovvūr,17.0167,81.7333,India,IN,Andhra Pradesh,,39667,39667
Solan,30.92,77.12,India,IN,Himāchal Pradesh,,39256,39256
Dwārka,22.2403,68.9686,India,IN,Gujarat,,38873,38873
Pathanāmthitta,9.2647,76.7872,India,IN,Kerala,,37802,37802
Kodaikānal,10.23,77.48,India,IN,Tamil Nādu,,36501,36501
Udhampur,32.93,75.13,India,IN,Jammu and Kashmīr,,35507,35507
Giddalūr,15.3784,78.9265,India,IN,Andhra Pradesh,,35150,35150
Yellandu,17.6,80.33,India,IN,Telangana,,35056,35056
Shrīrangapattana,12.4181,76.6947,India,IN,Karnātaka,,34135,34135
Angamāli,10.196,76.386,India,IN,Kerala,,33424,33424
Umaria,23.5245,80.8365,India,IN,Madhya Pradesh,,33114,33114
Fatehpur Sīkri,27.0911,77.6611,India,IN,Uttar Pradesh,,32905,32905
Mangūr,17.9373,80.8185,India,IN,Telangana,,32091,32091
Pedana,16.2667,81.1667,India,IN,Andhra Pradesh,,30721,30721
Uran,18.89,72.95,India,IN,Mahārāshtra,,30439,30439
Chimākurti,15.5819,79.868,India,IN,Andhra Pradesh,,30279,30279
